Angular Frequency,gain dB
3141.592654,-20.34553225
4712.38898,-17.00330607
6283.185307,-14.64249161
7853.981634,-12.86037198
9424.777961,-11.41787983
10995.57429,-10.17837173
12566.37061,-9.143491461
14137.16694,-8.349642328
15707.96327,-7.54329041
17278.75959,-6.916469162
18849.55592,-6.331854017
20420.35225,-5.852003377
21991.14858,-5.395663189
23561.9449,-4.994461697
25132.74123,-4.963644245
26703.53756,-4.324786085
28274.33388,-4.157771818
29845.13021,-3.993908449
31415.92654,-3.57103962
32986.72286,-3.374125112
34557.51919,-3.169056695
36128.31552,-2.945521784
37699.11184,-2.899313666
39269.90817,-2.379157836
40840.7045,-2.200527232
42411.50082,-2.111463241
43982.29715,-2.024399734
45553.09348,-1.852847837
47123.8898,-1.852847837
48694.68613,-1.683564248
50265.48246,-1.683564248
51836.27878,-1.60066597
53407.07511,-1.518551402
54977.87144,-1.437205862
56548.66776,-1.356615082
58119.46409,-1.356615082
59690.26042,-1.275759114
61261.05675,-1.196645719
62831.85307,-1.09851023
64402.6494,-1.361693658
65973.44573,-1.282804039
67544.24205,-1.203626744
69115.03838,-1.203626744
70685.83471,-1.203626744
72256.63103,-1.126153458
73827.42736,-1.048385014
75398.22369,-1.048385014
76969.02001,-1.048385014
78539.81634,-1.048385014
80110.61267,-0.9722781024
81681.40899,-0.9722781024
83252.20532,-0.8958692492
84823.00165,-0.8958692492
86393.79797,-0.8958692492
87964.5943,-0.8958692492
89535.39063,-0.8958692492
91106.18695,-0.8210813501
92676.98328,-0.8210813501
94247.77961,-0.8210813501
100530.9649,-0.7469319021
106814.1502,-0.7469319021
113097.3355,-0.6724715382
119380.5208,-0.5995746834
125663.7061,-0.5995746834
