Angular Frequency,gain dB
3141.592654,-0.1719339484
4712.38898,-0.1719339484
6283.185307,-0.1719339484
7853.981634,-0.1719339484
9424.777961,-0.3473401121
10995.57429,-0.5263616299
12566.37061,-0.5263616299
14137.16694,-0.7091506784
15707.96327,-0.8958692492
17278.75959,-1.086690011
18849.55592,-1.282804039
20420.35225,-1.282804039
21991.14858,-1.68672793
23561.9449,-1.68672793
25132.74123,-2.1103557
26703.53756,-2.1103557
28274.33388,-2.444513
29845.13021,-2.444513
30297.51955,-2.444513
31415.92654,-2.66480433
32986.72286,-2.889616887
34557.51919,-3.12164724
36128.31552,-3.360046455
37699.11184,-3.360046455
39269.90817,-3.603858708
40840.7045,-3.856066786
42411.50082,-4.115817673
43982.29715,-4.115817673
45553.09348,-4.382137826
47123.8898,-4.658367573
48694.68613,-4.943671376
50265.48246,-5.297607318
51836.27878,-5.419945815
53407.07511,-5.666580489
54977.87144,-5.794267046
56548.66776,-5.922140927
58119.46409,-6.185449123
59690.26042,-6.321057385
61261.05675,-6.456989575
62831.85307,-6.431453551
