Angular Frequency,gain dB
25132.74123,-0.4272610323
28274.33388,-0.5744830252
31415.92654,-0.7242434531
34557.51919,-1.031740684
37699.11184,-1.350524706
40840.7045,-1.93820026
43982.29715,-2.383728154
47123.8898,-3.435827711
50265.48246,-4.671743058
53407.07511,-6.906844907
56548.66776,-9.682523126
59690.26042,-14.06669619
62831.85307,-16.36312824
65973.44573,-12.7767801
69115.03838,-9.155944351
72256.63103,-6.906844907
75398.22369,-5.374673018
78539.81634,-4.294827333
81681.40899,-3.539649531
84823.00165,-3.03621766
87964.5943,-2.383728154
91106.18695,-2.200527232
94247.77961,-1.851772785
97389.37226,-1.681455766
100530.9649,-1.514414279
103672.5576,-1.350524706
106814.1502,-1.189670301
109955.7429,-1.031740684
113097.3355,-1.031740684
116238.9282,-0.8766313905
119380.5208,-0.8766313905
122522.1135,-0.8001032334
125663.7061,-0.7242434531
128805.2988,-0.7242434531
131946.8915,-0.7242434531
135088.4841,-0.5744830252
138230.0768,-0.5744830252
141371.6694,-0.5744830252
144513.2621,-0.5744830252
147654.8547,-0.5744830252
150796.4474,-0.500560114
153938.04,-0.4272610323
157079.6327,-0.4272610323
