Angular Frequency,gain dB
25132.74123,-11.69385416
28274.33388,-10.345386
31415.92654,-8.864304354
34557.51919,-7.788925894
37699.11184,-6.680879411
40840.7045,-5.481767354
43982.29715,-4.495074805
47123.8898,-3.556638413
50265.48246,-2.593092578
53407.07511,-1.974103657
56548.66776,-1.541340869
59690.26042,-1.291870205
62831.85307,-1.291870205
65973.44573,-1.457727761
69115.03838,-1.798189088
72256.63103,-2.152541852
75398.22369,-2.713338899
78539.81634,-3.179070692
81681.40899,-3.699076479
84823.00165,-4.350547517
87964.5943,-4.791550332
91106.18695,-5.288022006
94247.77961,-5.81460078
97389.37226,-6.160697945
100530.9649,-6.595082939
103672.5576,-6.97443972
106814.1502,-7.37112462
109955.7429,-7.702055679
113097.3355,-8.046096281
116238.9282,-8.404328068
119380.5208,-8.777972327
122522.1135,-9.06914673
125663.7061,-9.370421659
128805.2988,-9.577238326
131946.8915,-9.897000434
135088.4841,-10.31400321
138230.0768,-10.60355968
141371.6694,-10.83933615
144513.2621,-11.08169172
147654.8547,-11.39527293
150796.4474,-11.58768459
153938.04,-11.78782915
157079.6327,-11.98924021
